Category,Sub Category,Number,TONE Name,MSB,LSB,PC
,,2008,1979 Phased EP,84,8,97
,,2009,1979 Envelope EP,84,8,98
,,2010,1975 Sweet Echo,84,8,99
,,2011,1979 Flying Echo,84,8,100
,,2012,1975 ModDelay EP,84,8,101
,,2013,1975 Driven EP,84,8,102
,,2014,1979 Comp EP,84,8,103
,,0069,Tine E.Piano,84,0,69
,,0070,Silver Top EP.,84,0,70
,,0071,Tine EP MkI.,84,0,71
,,0072,Tine EP MkII.,84,0,72
,,0073,Dyno E.Piano.,84,0,73
,,0074,Small Case Tine,84,0,74
,,0075,Soft Tine EP,84,0,75
,,0076,Chorus Tine EP,84,0,76
,,0077,Chorus Tine EP2,84,0,77
,,0078,Chorus Dyno EP,84,0,78
,,0079,Tremolo Cho Tine,84,0,79
,,0080,Phaser Tine EP,84,0,80
,,0081,Phaser Dyno EP,84,0,81
,,0082,Trem Phaser Tine,84,0,82
,,0083,Trem Phaser Dyno,84,0,83
,,0084,Rotary Tine EP,84,0,84
,,0085,TouchWah TineEP,84,0,85
,,0086,Auto Wah Tine EP,84,0,86
,,0087,Echo Tine EP,84,0,87
,,0088,Echo->Trem Tine,84,0,88
,,0089,Echo->RotaryTine,84,0,89
,,0090,Comp Tine EP,84,0,90
,,0091,Comp Tine EP2,84,0,91
,,0092,Comp Silver Top,84,0,92
,,0093,Driven Tine EP,84,0,93
,,0094,Driven SilverTop,84,0,94
,,0095,Stage EP 1,84,0,95
,,0096,Stage EP 2,84,0,96
,,0097,Stage EP Trm,84,0,97
,,0098,Tremolo EP 1,84,0,98
,,0099,E.Piano 3,84,0,99
,,0100,E.Piano 4,84,0,100
,,0101,E.Piano 5,84,0,101
,,0102,E.Piano 6,84,0,102
,,0103,E.Piano 7,84,0,103
,,0104,E.Piano 8,84,0,104
,,0105,Dyno EP,84,0,105
,,0106,Dyno EP Trm,84,0,106
,,0107,Tremolo EP 2,84,0,107
,,0108,Back2the60s,84,0,108
,,0109,Tine EP,84,0,109
,,0110,E.Piano 1,84,0,110
,,0111,St.Soft EP,84,0,111
,REED E.PIANO,0112,Reed E.Piano,84,0,112
,,0113,Round Reed EP,84,0,113
,,0114,Driven Reed EP,84,0,114
,,0115,Driven Reed EP2,84,0,115
,,0116,Comp Reed EP,84,0,116
,,0117,Comp Reed EP2,84,0,117
,,0118,Rotary Reed EP,84,0,118
,,0119,Tremolo Reed EP,84,0,119
,,0120,Chorus Reed EP,84,0,120
,,0121,Phaser Reed EP,84,0,121
,,0122,Echo Reed EP,84,0,122
,,0123,Echo->Trem Reed,84,0,123
,,0124,TouchWah ReedEP,84,0,124
,,0125,AutoWah Reed EP,84,0,125
,,0126,Pnet Tee,84,0,126
,,0127,R&B Pnet,84,0,127
,,0128,Wurly EP,84,0,128
,,0129,Wurly EP Trm,84,1,1
,,0130,Curly Wurly,84,1,2
,,0131,Super Wurly,84,1,3
,,0132,Wurly,84,1,4
,E.GRAND,0133,E.Grand 1,84,1,5
,,0134,E.Grand 2,84,1,6
,,0135,E.Grand 3,84,1,7
,,0136,Piano 3,84,1,8
,,0137,Piano 3 w,84,1,9
MODERN,SA E.PIANO,2015,RD-1000 Piano1,84,8,104
,,2016,RD-1000 Piano2,84,8,105
,,2017,RD-1000 Piano3,84,8,106
,,2018,RD-1000 Harpsi,84,8,107
,,2019,RD-1000 Clav,84,8,108
,,2020,RD-1000 Vibra.,84,8,109
